2024-02-04 11:38:11,591 - cli.py - This is Paynt version 0.1.0.
2024-02-04 11:38:11,591 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/tac24/grid-meet-sl-2fsc/sketch.templ ...
2024-02-04 11:38:11,591 - sketch.py - assuming sketch in PRISM format...
2024-02-04 11:38:11,595 - prism_parser.py - PRISM model type: DTMC
2024-02-04 11:38:11,595 - prism_parser.py - processing hole definitions...
2024-02-04 11:38:11,595 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/tac24/grid-meet-sl-2fsc/sketch.props ...
2024-02-04 11:38:11,597 - prism_parser.py - found the following specification: optimality: R[exp]{"moves"}min=? [F "goal"] 
2024-02-04 11:38:11,597 - jani.py - constructing JANI program...
2024-02-04 11:38:11,601 - jani.py - constructing the quotient...
2024-02-04 11:38:12,998 - jani.py - associating choices of the quotient with hole assignments...
2024-02-04 11:38:13,812 - sketch.py - sketch parsing OK
2024-02-04 11:38:13,813 - sketch.py - converting state rewards 'moves' to state-action rewards
2024-02-04 11:38:13,846 - sketch.py - constructed explicit quotient having 9216 states and 577728 actions
2024-02-04 11:38:13,846 - sketch.py - found the following specification optimality: R[exp]{"moves"}min=? [F "goal"] 
2024-02-04 11:38:14,240 - synthesizer.py - synthesis initiated, design space: 16777216
> progress 61.621%, elapsed 392 s, estimated 637 s, iters = {MDP: 13511}, opt = 9.77
> progress 61.718%, elapsed 395 s, estimated 641 s, iters = {MDP: 13520}, opt = 9.77
> progress 62.744%, elapsed 399 s, estimated 636 s, iters = {MDP: 13538}, opt = 9.77
> progress 64.538%, elapsed 402 s, estimated 624 s, iters = {MDP: 13563}, opt = 9.77
> progress 64.578%, elapsed 405 s, estimated 628 s, iters = {MDP: 13585}, opt = 9.77
> progress 65.734%, elapsed 408 s, estimated 622 s, iters = {MDP: 13625}, opt = 9.77
> progress 65.771%, elapsed 412 s, estimated 626 s, iters = {MDP: 13634}, opt = 9.77
> progress 67.187%, elapsed 415 s, estimated 617 s, iters = {MDP: 13659}, opt = 9.77
> progress 68.997%, elapsed 418 s, estimated 606 s, iters = {MDP: 13719}, opt = 9.77
> progress 69.104%, elapsed 421 s, estimated 609 s, iters = {MDP: 13764}, opt = 9.77
> progress 70.312%, elapsed 424 s, estimated 603 s, iters = {MDP: 13800}, opt = 9.77
> progress 70.484%, elapsed 427 s, estimated 607 s, iters = {MDP: 13826}, opt = 9.77
> progress 72.363%, elapsed 431 s, estimated 595 s, iters = {MDP: 13852}, opt = 9.77
> progress 73.437%, elapsed 434 s, estimated 591 s, iters = {MDP: 13898}, opt = 9.77
> progress 78.393%, elapsed 437 s, estimated 557 s, iters = {MDP: 13933}, opt = 9.77
> progress 79.15%, elapsed 440 s, estimated 556 s, iters = {MDP: 14008}, opt = 9.77
> progress 80.322%, elapsed 443 s, estimated 551 s, iters = {MDP: 14057}, opt = 9.77
> progress 81.25%, elapsed 446 s, estimated 549 s, iters = {MDP: 14087}, opt = 9.77
> progress 81.64%, elapsed 449 s, estimated 550 s, iters = {MDP: 14154}, opt = 9.77
> progress 81.679%, elapsed 452 s, estimated 553 s, iters = {MDP: 14221}, opt = 9.77
> progress 82.141%, elapsed 455 s, estimated 554 s, iters = {MDP: 14266}, opt = 9.77
> progress 82.177%, elapsed 458 s, estimated 557 s, iters = {MDP: 14290}, opt = 9.77
> progress 82.543%, elapsed 461 s, estimated 559 s, iters = {MDP: 14363}, opt = 9.77
> progress 83.593%, elapsed 464 s, estimated 555 s, iters = {MDP: 14391}, opt = 9.77
> progress 83.679%, elapsed 468 s, estimated 559 s, iters = {MDP: 14408}, opt = 9.77
> progress 84.437%, elapsed 471 s, estimated 557 s, iters = {MDP: 14443}, opt = 9.77
> progress 84.912%, elapsed 474 s, estimated 558 s, iters = {MDP: 14595}, opt = 9.77
> progress 85.211%, elapsed 477 s, estimated 560 s, iters = {MDP: 14716}, opt = 9.77
> progress 85.937%, elapsed 480 s, estimated 558 s, iters = {MDP: 14773}, opt = 9.77
> progress 86.019%, elapsed 483 s, estimated 562 s, iters = {MDP: 14814}, opt = 9.77
> progress 86.157%, elapsed 486 s, estimated 564 s, iters = {MDP: 14829}, opt = 9.77
> progress 86.328%, elapsed 489 s, estimated 567 s, iters = {MDP: 14862}, opt = 9.77
> progress 86.523%, elapsed 492 s, estimated 569 s, iters = {MDP: 14921}, opt = 9.77
> progress 86.791%, elapsed 495 s, estimated 571 s, iters = {MDP: 14968}, opt = 9.77
> progress 90.625%, elapsed 499 s, estimated 550 s, iters = {MDP: 14991}, opt = 9.77
> progress 93.75%, elapsed 502 s, estimated 535 s, iters = {MDP: 15016}, opt = 9.77
> progress 94.921%, elapsed 505 s, estimated 532 s, iters = {MDP: 15053}, opt = 9.77
> progress 97.084%, elapsed 508 s, estimated 523 s, iters = {MDP: 15079}, opt = 9.77
> progress 97.099%, elapsed 511 s, estimated 526 s, iters = {MDP: 15139}, opt = 9.77
> progress 97.104%, elapsed 514 s, estimated 529 s, iters = {MDP: 15166}, opt = 9.77
> progress 97.119%, elapsed 517 s, estimated 532 s, iters = {MDP: 15197}, opt = 9.77
> progress 97.25%, elapsed 520 s, estimated 535 s, iters = {MDP: 15241}, opt = 9.77
> progress 97.778%, elapsed 523 s, estimated 535 s, iters = {MDP: 15254}, opt = 9.77
> progress 98.157%, elapsed 526 s, estimated 536 s, iters = {MDP: 15299}, opt = 9.77
> progress 98.828%, elapsed 529 s, estimated 535 s, iters = {MDP: 15325}, opt = 9.77
2024-02-04 11:47:05,834 - synthesizer.py - synthesis finished, printing synthesized assignment below:
2024-02-04 11:47:05,835 - synthesizer.py - M1_0_1=1, M1_0_0=1, M1_1_1=1, M1_1_0=0, P1_0_1=2, P1_0_0=2, P1_1_1=4, P1_1_0=3, M2_0_1=1, M2_0_0=0, M2_1_1=1, M2_1_0=1, P2_0_1=4, P2_0_0=1, P2_1_1=4, P2_1_0=3
2024-02-04 11:47:05,842 - synthesizer.py - double-checking specification satisfiability:  : 9.770173658523708
--------------------
Synthesis summary:
optimality objective: R[exp]{"moves"}min=? [F "goal"] 

method: AR, synthesis time: 531.59 s
number of holes: 16, family size: 16777216, quotient: 9216 states / 577728 actions
explored: 100 %
MDP stats: avg MDP size: 1744, iterations: 15338

optimum: 9.770174
--------------------
