2024-01-03 18:53:42,832 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:53:42,832 - sketch.py - loading sketch from models/mdp/sketches/rover/1000/sketch.templ ...
2024-01-03 18:53:42,832 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:53:42,834 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:53:42,834 - prism_parser.py - processing hole definitions...
2024-01-03 18:53:42,835 - prism_parser.py - loading properties from models/mdp/sketches/rover/1000/sketch.props ...
2024-01-03 18:53:42,836 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-03 18:53:42,836 - jani.py - constructing JANI program...
2024-01-03 18:53:42,839 - jani.py - constructing the quotient...
2024-01-03 18:53:43,578 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:53:44,210 - sketch.py - sketch parsing OK
2024-01-03 18:53:44,210 - sketch.py - constructed explicit quotient having 17003 states and 518003 actions
2024-01-03 18:53:44,210 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-03 18:53:44,443 - mdp_family.py - associating choices with action labels...
2024-01-03 18:53:44,864 - synthesizer.py - evaluation initiated, design space: 3779136
> Progress 0.388%, elapsed 397 s, estimated 102515 s (28 hours), iters = {MDP: 14666}
> Progress 0.394%, elapsed 400 s, estimated 101723 s (28 hours), iters = {MDP: 14892}
> Progress 0.399%, elapsed 403 s, estimated 101167 s (28 hours), iters = {MDP: 15087}
> Progress 0.401%, elapsed 406 s, estimated 101343 s (28 hours), iters = {MDP: 15173}
> Progress 0.403%, elapsed 409 s, estimated 101518 s (28 hours), iters = {MDP: 15259}
> Progress 0.406%, elapsed 412 s, estimated 101684 s (28 hours), iters = {MDP: 15346}
> Progress 0.408%, elapsed 415 s, estimated 101855 s (28 hours), iters = {MDP: 15432}
> Progress 0.41%, elapsed 418 s, estimated 102038 s (28 hours), iters = {MDP: 15516}
> Progress 0.412%, elapsed 421 s, estimated 102214 s (28 hours), iters = {MDP: 15601}
> Progress 0.414%, elapsed 424 s, estimated 102399 s (28 hours), iters = {MDP: 15684}
> Progress 0.417%, elapsed 427 s, estimated 102574 s (28 hours), iters = {MDP: 15769}
> Progress 0.419%, elapsed 431 s, estimated 102746 s (28 hours), iters = {MDP: 15854}
> Progress 0.421%, elapsed 434 s, estimated 102910 s (28 hours), iters = {MDP: 15940}
> Progress 0.424%, elapsed 437 s, estimated 103072 s (28 hours), iters = {MDP: 16026}
> Progress 0.426%, elapsed 440 s, estimated 103225 s (28 hours), iters = {MDP: 16112}
> Progress 0.428%, elapsed 443 s, estimated 103375 s (28 hours), iters = {MDP: 16199}
> Progress 0.43%, elapsed 446 s, estimated 103531 s (28 hours), iters = {MDP: 16285}
> Progress 0.433%, elapsed 449 s, estimated 103684 s (28 hours), iters = {MDP: 16371}
> Progress 0.435%, elapsed 452 s, estimated 103829 s (28 hours), iters = {MDP: 16458}
> Progress 0.437%, elapsed 455 s, estimated 103977 s (28 hours), iters = {MDP: 16544}
> Progress 0.439%, elapsed 458 s, estimated 104128 s (28 hours), iters = {MDP: 16629}
> Progress 0.442%, elapsed 461 s, estimated 104262 s (28 hours), iters = {MDP: 16717}
> Progress 0.444%, elapsed 464 s, estimated 104392 s (28 hours), iters = {MDP: 16805}
> Progress 0.446%, elapsed 467 s, estimated 104539 s (29 hours), iters = {MDP: 16890}
> Progress 0.449%, elapsed 470 s, estimated 104659 s (29 hours), iters = {MDP: 16980}
> Progress 0.453%, elapsed 473 s, estimated 104289 s (28 hours), iters = {MDP: 17149}
> Progress 0.459%, elapsed 476 s, estimated 103669 s (28 hours), iters = {MDP: 17361}
> Progress 0.465%, elapsed 479 s, estimated 102995 s (28 hours), iters = {MDP: 17585}
> Progress 0.472%, elapsed 482 s, estimated 102086 s (28 hours), iters = {MDP: 17853}
> Progress 0.478%, elapsed 485 s, estimated 101461 s (28 hours), iters = {MDP: 18075}
> Progress 0.482%, elapsed 488 s, estimated 101089 s (28 hours), iters = {MDP: 18254}
> Progress 0.488%, elapsed 491 s, estimated 100647 s (27 hours), iters = {MDP: 18447}
> Progress 0.493%, elapsed 494 s, estimated 100103 s (27 hours), iters = {MDP: 18661}
> Progress 0.499%, elapsed 497 s, estimated 99618 s (27 hours), iters = {MDP: 18868}
> Progress 0.504%, elapsed 500 s, estimated 99192 s (27 hours), iters = {MDP: 19064}
> Progress 0.509%, elapsed 503 s, estimated 98777 s (27 hours), iters = {MDP: 19259}
> Progress 0.514%, elapsed 506 s, estimated 98331 s (27 hours), iters = {MDP: 19462}
> Progress 0.52%, elapsed 509 s, estimated 97882 s (27 hours), iters = {MDP: 19667}
> Progress 0.526%, elapsed 512 s, estimated 97390 s (27 hours), iters = {MDP: 19883}
> Progress 0.533%, elapsed 515 s, estimated 96654 s (26 hours), iters = {MDP: 20152}
> Progress 0.54%, elapsed 518 s, estimated 95955 s (26 hours), iters = {MDP: 20418}
> Progress 0.542%, elapsed 521 s, estimated 96104 s (26 hours), iters = {MDP: 20505}
> Progress 0.544%, elapsed 524 s, estimated 96262 s (26 hours), iters = {MDP: 20590}
> Progress 0.547%, elapsed 527 s, estimated 96420 s (26 hours), iters = {MDP: 20675}
> Progress 0.549%, elapsed 530 s, estimated 96564 s (26 hours), iters = {MDP: 20762}
> Progress 0.551%, elapsed 533 s, estimated 96706 s (26 hours), iters = {MDP: 20849}
> Progress 0.553%, elapsed 536 s, estimated 96852 s (26 hours), iters = {MDP: 20936}
> Progress 0.556%, elapsed 539 s, estimated 96995 s (26 hours), iters = {MDP: 21023}
> Progress 0.558%, elapsed 542 s, estimated 97152 s (26 hours), iters = {MDP: 21106}
> Progress 0.56%, elapsed 545 s, estimated 97303 s (27 hours), iters = {MDP: 21191}
> Progress 0.562%, elapsed 548 s, estimated 97466 s (27 hours), iters = {MDP: 21273}
> Progress 0.564%, elapsed 551 s, estimated 97654 s (27 hours), iters = {MDP: 21350}
> Progress 0.566%, elapsed 554 s, estimated 97881 s (27 hours), iters = {MDP: 21417}
> Progress 0.568%, elapsed 557 s, estimated 98106 s (27 hours), iters = {MDP: 21484}
> Progress 0.57%, elapsed 560 s, estimated 98299 s (27 hours), iters = {MDP: 21558}
> Progress 0.572%, elapsed 563 s, estimated 98471 s (27 hours), iters = {MDP: 21636}
> Progress 0.574%, elapsed 566 s, estimated 98614 s (27 hours), iters = {MDP: 21720}
> Progress 0.576%, elapsed 569 s, estimated 98750 s (27 hours), iters = {MDP: 21805}
> Progress 0.579%, elapsed 572 s, estimated 98880 s (27 hours), iters = {MDP: 21892}
> Progress 0.581%, elapsed 575 s, estimated 99007 s (27 hours), iters = {MDP: 21979}
> Progress 0.583%, elapsed 578 s, estimated 99146 s (27 hours), iters = {MDP: 22063}
> Progress 0.586%, elapsed 581 s, estimated 99276 s (27 hours), iters = {MDP: 22149}
> Progress 0.588%, elapsed 584 s, estimated 99397 s (27 hours), iters = {MDP: 22237}
> Progress 0.59%, elapsed 587 s, estimated 99537 s (27 hours), iters = {MDP: 22320}
> Progress 0.592%, elapsed 590 s, estimated 99660 s (27 hours), iters = {MDP: 22407}
> Progress 0.595%, elapsed 593 s, estimated 99811 s (27 hours), iters = {MDP: 22487}
> Progress 0.597%, elapsed 596 s, estimated 99964 s (27 hours), iters = {MDP: 22567}
> Progress 0.599%, elapsed 599 s, estimated 100108 s (27 hours), iters = {MDP: 22648}
> Progress 0.601%, elapsed 602 s, estimated 100224 s (27 hours), iters = {MDP: 22736}
> Progress 0.603%, elapsed 605 s, estimated 100335 s (27 hours), iters = {MDP: 22824}
> Progress 0.606%, elapsed 608 s, estimated 100461 s (27 hours), iters = {MDP: 22909}
> Progress 0.608%, elapsed 612 s, estimated 100584 s (27 hours), iters = {MDP: 22995}
> Progress 0.61%, elapsed 615 s, estimated 100704 s (27 hours), iters = {MDP: 23081}
> Progress 0.612%, elapsed 618 s, estimated 100834 s (28 hours), iters = {MDP: 23164}
> Progress 0.615%, elapsed 621 s, estimated 100947 s (28 hours), iters = {MDP: 23251}
> Progress 0.617%, elapsed 624 s, estimated 101063 s (28 hours), iters = {MDP: 23337}
> Progress 0.619%, elapsed 627 s, estimated 101219 s (28 hours), iters = {MDP: 23413}
> Progress 0.622%, elapsed 630 s, estimated 101238 s (28 hours), iters = {MDP: 23521}
> Progress 0.625%, elapsed 633 s, estimated 101270 s (28 hours), iters = {MDP: 23626}
> Progress 0.627%, elapsed 636 s, estimated 101336 s (28 hours), iters = {MDP: 23723}
> Progress 0.63%, elapsed 639 s, estimated 101327 s (28 hours), iters = {MDP: 23838}
> Progress 0.633%, elapsed 642 s, estimated 101350 s (28 hours), iters = {MDP: 23945}
> Progress 0.636%, elapsed 645 s, estimated 101420 s (28 hours), iters = {MDP: 24042}
> Progress 0.639%, elapsed 648 s, estimated 101410 s (28 hours), iters = {MDP: 24157}
> Progress 0.641%, elapsed 651 s, estimated 101561 s (28 hours), iters = {MDP: 24234}
> Progress 0.643%, elapsed 654 s, estimated 101614 s (28 hours), iters = {MDP: 24334}
> Progress 0.646%, elapsed 657 s, estimated 101654 s (28 hours), iters = {MDP: 24436}
> Progress 0.648%, elapsed 660 s, estimated 101745 s (28 hours), iters = {MDP: 24526}
> Progress 0.651%, elapsed 663 s, estimated 101754 s (28 hours), iters = {MDP: 24636}
> Progress 0.654%, elapsed 666 s, estimated 101845 s (28 hours), iters = {MDP: 24726}
> Progress 0.656%, elapsed 669 s, estimated 101894 s (28 hours), iters = {MDP: 24826}
> Progress 0.659%, elapsed 672 s, estimated 101963 s (28 hours), iters = {MDP: 24921}
> Progress 0.661%, elapsed 675 s, estimated 102062 s (28 hours), iters = {MDP: 25009}
> Progress 0.664%, elapsed 678 s, estimated 102069 s (28 hours), iters = {MDP: 25119}
> Progress 0.666%, elapsed 681 s, estimated 102164 s (28 hours), iters = {MDP: 25207}
> Progress 0.669%, elapsed 684 s, estimated 102197 s (28 hours), iters = {MDP: 25311}
> Progress 0.672%, elapsed 687 s, estimated 102223 s (28 hours), iters = {MDP: 25416}
> Progress 0.674%, elapsed 690 s, estimated 102325 s (28 hours), iters = {MDP: 25502}
> Progress 0.677%, elapsed 693 s, estimated 102333 s (28 hours), iters = {MDP: 25612}
> Progress 0.68%, elapsed 696 s, estimated 102425 s (28 hours), iters = {MDP: 25700}
> Progress 0.682%, elapsed 699 s, estimated 102474 s (28 hours), iters = {MDP: 25799}
> Progress 0.685%, elapsed 702 s, estimated 102551 s (28 hours), iters = {MDP: 25891}
> Progress 0.687%, elapsed 705 s, estimated 102632 s (28 hours), iters = {MDP: 25982}
> Progress 0.69%, elapsed 708 s, estimated 102640 s (28 hours), iters = {MDP: 26091}
> Progress 0.692%, elapsed 711 s, estimated 102731 s (28 hours), iters = {MDP: 26179}
> Progress 0.695%, elapsed 714 s, estimated 102763 s (28 hours), iters = {MDP: 26282}
> Progress 0.697%, elapsed 717 s, estimated 102888 s (28 hours), iters = {MDP: 26361}
> Progress 0.699%, elapsed 720 s, estimated 103014 s (28 hours), iters = {MDP: 26439}
