2024-01-04 19:53:50,081 - cli.py - This is Paynt version 0.1.0.
2024-01-04 19:53:50,081 - sketch.py - loading sketch from models/mdp/sketches/uav/roz-big/sketch.templ ...
2024-01-04 19:53:50,081 - sketch.py - assuming sketch in PRISM format...
2024-01-04 19:53:50,089 - prism_parser.py - PRISM model type: MDP
2024-01-04 19:53:50,089 - prism_parser.py - processing hole definitions...
2024-01-04 19:53:50,090 - prism_parser.py - loading properties from models/mdp/sketches/uav/roz-big/sketch.props ...
2024-01-04 19:53:50,091 - prism_parser.py - found the following specification: constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-04 19:53:50,091 - jani.py - constructing JANI program...
2024-01-04 19:53:50,102 - jani.py - constructing the quotient...
2024-01-04 19:53:50,821 - jani.py - associating choices of the quotient with hole assignments...
2024-01-04 19:53:50,986 - sketch.py - sketch parsing OK
2024-01-04 19:53:50,987 - sketch.py - constructed explicit quotient having 17927 states and 192109 actions
2024-01-04 19:53:50,987 - sketch.py - found the following specification constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-04 19:53:51,086 - mdp_family.py - associating choices with action labels...
2024-01-04 19:53:51,342 - synthesizer.py - evaluation initiated, design space: 40500
> Progress 75.316%, elapsed 605 s, estimated 804 s, iters = {MDP: 30504}
> Progress 75.459%, elapsed 608 s, estimated 806 s, iters = {MDP: 30562}
> Progress 75.602%, elapsed 611 s, estimated 809 s, iters = {MDP: 30620}
> Progress 75.745%, elapsed 614 s, estimated 811 s, iters = {MDP: 30678}
> Progress 75.888%, elapsed 617 s, estimated 814 s, iters = {MDP: 30736}
> Progress 76.032%, elapsed 620 s, estimated 816 s, iters = {MDP: 30794}
> Progress 76.187%, elapsed 623 s, estimated 818 s, iters = {MDP: 30857}
> Progress 76.343%, elapsed 626 s, estimated 821 s, iters = {MDP: 30920}
> Progress 76.479%, elapsed 630 s, estimated 823 s, iters = {MDP: 30975}
> Progress 76.609%, elapsed 633 s, estimated 826 s, iters = {MDP: 31028}
> Progress 76.755%, elapsed 636 s, estimated 828 s, iters = {MDP: 31087}
> Progress 76.898%, elapsed 639 s, estimated 831 s, iters = {MDP: 31145}
> Progress 77.044%, elapsed 642 s, estimated 833 s, iters = {MDP: 31204}
> Progress 77.2%, elapsed 645 s, estimated 835 s, iters = {MDP: 31267}
> Progress 77.348%, elapsed 648 s, estimated 837 s, iters = {MDP: 31327}
> Progress 77.496%, elapsed 651 s, estimated 840 s, iters = {MDP: 31387}
> Progress 77.646%, elapsed 654 s, estimated 842 s, iters = {MDP: 31448}
> Progress 77.795%, elapsed 657 s, estimated 844 s, iters = {MDP: 31508}
> Progress 77.943%, elapsed 660 s, estimated 847 s, iters = {MDP: 31568}
> Progress 78.093%, elapsed 663 s, estimated 849 s, iters = {MDP: 31629}
> Progress 78.241%, elapsed 666 s, estimated 851 s, iters = {MDP: 31689}
> Progress 78.39%, elapsed 669 s, estimated 853 s, iters = {MDP: 31749}
> Progress 78.54%, elapsed 672 s, estimated 856 s, iters = {MDP: 31810}
> Progress 78.691%, elapsed 675 s, estimated 858 s, iters = {MDP: 31871}
> Progress 78.841%, elapsed 678 s, estimated 860 s, iters = {MDP: 31932}
> Progress 78.992%, elapsed 681 s, estimated 862 s, iters = {MDP: 31993}
> Progress 79.145%, elapsed 684 s, estimated 864 s, iters = {MDP: 32055}
> Progress 79.301%, elapsed 687 s, estimated 866 s, iters = {MDP: 32118}
> Progress 79.446%, elapsed 690 s, estimated 869 s, iters = {MDP: 32177}
> Progress 79.592%, elapsed 693 s, estimated 871 s, iters = {MDP: 32236}
> Progress 79.735%, elapsed 696 s, estimated 873 s, iters = {MDP: 32294}
> Progress 79.879%, elapsed 699 s, estimated 875 s, iters = {MDP: 32352}
> Progress 80.019%, elapsed 702 s, estimated 878 s, iters = {MDP: 32409}
> Progress 80.145%, elapsed 705 s, estimated 880 s, iters = {MDP: 32460}
> Progress 80.271%, elapsed 708 s, estimated 882 s, iters = {MDP: 32511}
> Progress 80.4%, elapsed 711 s, estimated 885 s, iters = {MDP: 32563}
> Progress 80.525%, elapsed 714 s, estimated 887 s, iters = {MDP: 32614}
> Progress 80.649%, elapsed 717 s, estimated 889 s, iters = {MDP: 32664}
> Progress 80.772%, elapsed 720 s, estimated 892 s, iters = {MDP: 32714}
> Progress 80.896%, elapsed 723 s, estimated 894 s, iters = {MDP: 32764}
> Progress 81.019%, elapsed 726 s, estimated 897 s, iters = {MDP: 32814}
> Progress 81.15%, elapsed 729 s, estimated 899 s, iters = {MDP: 32867}
> Progress 81.283%, elapsed 732 s, estimated 901 s, iters = {MDP: 32921}
> Progress 81.417%, elapsed 735 s, estimated 903 s, iters = {MDP: 32975}
> Progress 81.55%, elapsed 738 s, estimated 906 s, iters = {MDP: 33029}
> Progress 81.681%, elapsed 741 s, estimated 908 s, iters = {MDP: 33082}
> Progress 81.814%, elapsed 744 s, estimated 910 s, iters = {MDP: 33136}
> Progress 81.948%, elapsed 747 s, estimated 912 s, iters = {MDP: 33190}
> Progress 82.079%, elapsed 751 s, estimated 914 s, iters = {MDP: 33243}
> Progress 82.212%, elapsed 754 s, estimated 917 s, iters = {MDP: 33297}
> Progress 82.348%, elapsed 757 s, estimated 919 s, iters = {MDP: 33352}
> Progress 82.481%, elapsed 760 s, estimated 921 s, iters = {MDP: 33406}
> Progress 82.617%, elapsed 763 s, estimated 923 s, iters = {MDP: 33461}
> Progress 82.755%, elapsed 766 s, estimated 925 s, iters = {MDP: 33517}
> Progress 82.891%, elapsed 769 s, estimated 927 s, iters = {MDP: 33572}
> Progress 83.027%, elapsed 772 s, estimated 930 s, iters = {MDP: 33627}
> Progress 83.162%, elapsed 775 s, estimated 932 s, iters = {MDP: 33682}
