2023-12-19 13:27:54,243 - cli.py - This is Paynt version 0.1.0.
2023-12-19 13:27:54,243 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/roz/sketch.templ ...
2023-12-19 13:27:54,244 - sketch.py - assuming sketch in PRISM format...
2023-12-19 13:27:54,256 - prism_parser.py - PRISM model type: MDP
2023-12-19 13:27:54,256 - prism_parser.py - processing hole definitions...
2023-12-19 13:27:54,257 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/roz/sketch.props ...
2023-12-19 13:27:54,258 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 13:27:54,258 - jani.py - constructing JANI program...
2023-12-19 13:27:54,269 - jani.py - constructing the quotient...
2023-12-19 13:27:54,998 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 13:27:55,156 - sketch.py - sketch parsing OK
2023-12-19 13:27:55,156 - sketch.py - constructed explicit quotient having 17927 states and 191629 actions
2023-12-19 13:27:55,156 - sketch.py - found the following specification constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 13:27:55,256 - mdp_family.py - associating choices with action labels...
2023-12-19 13:27:55,492 - synthesizer.py - evaluation initiated, design space: 4500
> Progress 92.911%, elapsed 743 s, estimated 799 s, iters = {MDP: 4182}
> Progress 93.288%, elapsed 746 s, estimated 799 s, iters = {MDP: 4199}
> Progress 93.488%, elapsed 749 s, estimated 801 s, iters = {MDP: 4208}
> Progress 93.8%, elapsed 752 s, estimated 802 s, iters = {MDP: 4222}
> Progress 94.0%, elapsed 755 s, estimated 803 s, iters = {MDP: 4231}
> Progress 94.311%, elapsed 758 s, estimated 804 s, iters = {MDP: 4245}
> Progress 94.533%, elapsed 762 s, estimated 806 s, iters = {MDP: 4255}
> Progress 94.733%, elapsed 765 s, estimated 807 s, iters = {MDP: 4264}
> Progress 94.933%, elapsed 768 s, estimated 809 s, iters = {MDP: 4273}
> Progress 95.177%, elapsed 771 s, estimated 810 s, iters = {MDP: 4284}
> Progress 95.422%, elapsed 774 s, estimated 811 s, iters = {MDP: 4295}
> Progress 95.777%, elapsed 777 s, estimated 812 s, iters = {MDP: 4311}
> Progress 95.977%, elapsed 781 s, estimated 813 s, iters = {MDP: 4320}
> Progress 96.244%, elapsed 784 s, estimated 814 s, iters = {MDP: 4332}
> Progress 96.533%, elapsed 787 s, estimated 815 s, iters = {MDP: 4345}
> Progress 97.133%, elapsed 790 s, estimated 813 s, iters = {MDP: 4372}
> Progress 97.422%, elapsed 793 s, estimated 814 s, iters = {MDP: 4385}
> Progress 97.666%, elapsed 796 s, estimated 815 s, iters = {MDP: 4396}
> Progress 97.866%, elapsed 799 s, estimated 817 s, iters = {MDP: 4405}
> Progress 98.133%, elapsed 803 s, estimated 818 s, iters = {MDP: 4417}
> Progress 98.733%, elapsed 806 s, estimated 816 s, iters = {MDP: 4444}
> Progress 98.911%, elapsed 809 s, estimated 818 s, iters = {MDP: 4452}
> Progress 99.155%, elapsed 812 s, estimated 819 s, iters = {MDP: 4463}
> Progress 99.355%, elapsed 815 s, estimated 821 s, iters = {MDP: 4472}
> Progress 99.6%, elapsed 819 s, estimated 822 s, iters = {MDP: 4483}
> Progress 99.866%, elapsed 822 s, estimated 823 s, iters = {MDP: 4495}
unSAT MDPs: 1661	unSAT families: 1661	avg. unSAT family size: 1.0
SAT MDPs: 2839	SAT families: 2839	avg. SAT family size: 1.0
policies: 2839	policy per SAT MDP: 1.0
iterations: 4500
time: 823.7s
