2023-12-19 13:41:39,450 - cli.py - This is Paynt version 0.1.0.
2023-12-19 13:41:39,450 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/operator-roz/sketch.templ ...
2023-12-19 13:41:39,450 - sketch.py - assuming sketch in PRISM format...
2023-12-19 13:41:39,458 - prism_parser.py - PRISM model type: MDP
2023-12-19 13:41:39,458 - prism_parser.py - processing hole definitions...
2023-12-19 13:41:39,459 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/operator-roz/sketch.props ...
2023-12-19 13:41:39,460 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 13:41:39,460 - jani.py - constructing JANI program...
2023-12-19 13:41:39,499 - jani.py - constructing the quotient...
2023-12-19 13:41:40,640 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 13:41:40,971 - sketch.py - sketch parsing OK
2023-12-19 13:41:40,972 - sketch.py - constructed explicit quotient having 17927 states and 295017 actions
2023-12-19 13:41:40,972 - sketch.py - found the following specification constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 13:41:41,126 - mdp_family.py - associating choices with action labels...
2023-12-19 13:41:41,502 - synthesizer.py - evaluation initiated, design space: 14400
> Progress 22.187%, elapsed 750 s, estimated 3383 s, iters = {MDP: 3196}
> Progress 22.243%, elapsed 753 s, estimated 3388 s, iters = {MDP: 3204}
> Progress 22.291%, elapsed 756 s, estimated 3394 s, iters = {MDP: 3211}
> Progress 22.34%, elapsed 759 s, estimated 3401 s, iters = {MDP: 3218}
> Progress 22.388%, elapsed 763 s, estimated 3408 s, iters = {MDP: 3225}
> Progress 22.444%, elapsed 766 s, estimated 3415 s, iters = {MDP: 3233}
> Progress 22.493%, elapsed 769 s, estimated 3421 s, iters = {MDP: 3240}
> Progress 22.541%, elapsed 772 s, estimated 3428 s, iters = {MDP: 3247}
> Progress 22.59%, elapsed 775 s, estimated 3434 s, iters = {MDP: 3254}
> Progress 22.638%, elapsed 778 s, estimated 3440 s, iters = {MDP: 3261}
> Progress 22.694%, elapsed 782 s, estimated 3447 s, iters = {MDP: 3269}
> Progress 22.743%, elapsed 785 s, estimated 3453 s, iters = {MDP: 3276}
> Progress 22.791%, elapsed 788 s, estimated 3460 s, iters = {MDP: 3283}
> Progress 22.84%, elapsed 791 s, estimated 3466 s, iters = {MDP: 3290}
> Progress 22.888%, elapsed 795 s, estimated 3473 s, iters = {MDP: 3297}
> Progress 22.937%, elapsed 798 s, estimated 3479 s, iters = {MDP: 3304}
> Progress 22.986%, elapsed 801 s, estimated 3485 s, iters = {MDP: 3311}
> Progress 23.034%, elapsed 804 s, estimated 3492 s, iters = {MDP: 3318}
> Progress 23.083%, elapsed 807 s, estimated 3499 s, iters = {MDP: 3325}
> Progress 23.131%, elapsed 811 s, estimated 3506 s, iters = {MDP: 3332}
> Progress 23.18%, elapsed 814 s, estimated 3512 s, iters = {MDP: 3339}
> Progress 23.236%, elapsed 817 s, estimated 3519 s, iters = {MDP: 3347}
> Progress 23.284%, elapsed 820 s, estimated 3525 s, iters = {MDP: 3354}
> Progress 23.333%, elapsed 824 s, estimated 3532 s, iters = {MDP: 3361}
> Progress 23.388%, elapsed 827 s, estimated 3539 s, iters = {MDP: 3369}
> Progress 23.444%, elapsed 830 s, estimated 3544 s, iters = {MDP: 3377}
