2024-01-18 00:59:06,270 - cli.py - This is Paynt version 0.1.0.
2024-01-18 00:59:06,270 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.templ ...
2024-01-18 00:59:06,270 - sketch.py - assuming sketch in PRISM format...
2024-01-18 00:59:06,275 - prism_parser.py - PRISM model type: MDP
2024-01-18 00:59:06,276 - prism_parser.py - processing hole definitions...
2024-01-18 00:59:06,276 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.props ...
2024-01-18 00:59:06,277 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-18 00:59:06,277 - jani.py - constructing JANI program...
2024-01-18 00:59:06,280 - jani.py - constructing the quotient...
2024-01-18 00:59:06,364 - jani.py - associating choices of the quotient with hole assignments...
2024-01-18 00:59:06,407 - sketch.py - sketch parsing OK
2024-01-18 00:59:06,408 - sketch.py - constructed explicit quotient having 1703 states and 50203 actions
2024-01-18 00:59:06,408 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-18 00:59:06,415 - mdp_family.py - associating choices with action labels...
2024-01-18 00:59:06,447 - synthesizer.py - evaluation initiated, design space: 24300000
> progress 47.051%, elapsed 705 s, estimated 1499 s, iters = {MDP: 189819}
> progress 47.222%, elapsed 708 s, estimated 1500 s, iters = {MDP: 190514}
> progress 47.277%, elapsed 711 s, estimated 1504 s, iters = {MDP: 191099}
> progress 47.376%, elapsed 714 s, estimated 1507 s, iters = {MDP: 192131}
> progress 47.456%, elapsed 717 s, estimated 1511 s, iters = {MDP: 192646}
> progress 47.547%, elapsed 720 s, estimated 1515 s, iters = {MDP: 193219}
> progress 47.685%, elapsed 723 s, estimated 1517 s, iters = {MDP: 194097}
> progress 47.799%, elapsed 726 s, estimated 1519 s, iters = {MDP: 194807}
> progress 47.901%, elapsed 729 s, estimated 1522 s, iters = {MDP: 195440}
> progress 48.001%, elapsed 732 s, estimated 1526 s, iters = {MDP: 196076}
> progress 48.065%, elapsed 735 s, estimated 1530 s, iters = {MDP: 196486}
> progress 48.205%, elapsed 738 s, estimated 1532 s, iters = {MDP: 197510}
> progress 49.074%, elapsed 741 s, estimated 1511 s, iters = {MDP: 198452}
> progress 49.156%, elapsed 744 s, estimated 1515 s, iters = {MDP: 199154}
> progress 50.801%, elapsed 748 s, estimated 1472 s, iters = {MDP: 199995}
> progress 50.928%, elapsed 751 s, estimated 1474 s, iters = {MDP: 200753}
> progress 51.069%, elapsed 754 s, estimated 1476 s, iters = {MDP: 201310}
> progress 51.198%, elapsed 757 s, estimated 1478 s, iters = {MDP: 201821}
> progress 51.255%, elapsed 760 s, estimated 1483 s, iters = {MDP: 202317}
> progress 51.36%, elapsed 763 s, estimated 1486 s, iters = {MDP: 203018}
> progress 51.422%, elapsed 766 s, estimated 1490 s, iters = {MDP: 203727}
