2024-01-16 21:00:17,719 - cli.py - This is Paynt version 0.1.0.
2024-01-16 21:00:17,719 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/obstacles-10-6-skip-easy/sketch.templ ...
2024-01-16 21:00:17,719 - sketch.py - assuming sketch in PRISM format...
2024-01-16 21:00:17,722 - prism_parser.py - PRISM model type: MDP
2024-01-16 21:00:17,722 - prism_parser.py - processing hole definitions...
2024-01-16 21:00:17,723 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/obstacles-10-6-skip-easy/sketch.props ...
2024-01-16 21:00:17,723 - prism_parser.py - found the following specification: constraints: P>9/10 [F ((x = 10) & (y = 10))]; 
2024-01-16 21:00:17,724 - jani.py - constructing JANI program...
2024-01-16 21:00:17,726 - jani.py - constructing the quotient...
2024-01-16 21:00:17,741 - jani.py - associating choices of the quotient with hole assignments...
2024-01-16 21:00:17,743 - sketch.py - sketch parsing OK
2024-01-16 21:00:17,744 - sketch.py - constructed explicit quotient having 783 states and 2856 actions
2024-01-16 21:00:17,744 - sketch.py - found the following specification constraints: P>9/10 [F ((x = 10) & (y = 10))]; 
2024-01-16 21:00:17,744 - mdp_family.py - associating choices with action labels...
2024-01-16 21:00:17,750 - synthesizer.py - evaluation initiated, design space: 2488320
> progress 52.352%, elapsed 501 s, estimated 957 s, iters = {game: 141939, MDP: 62058}
> progress 52.565%, elapsed 504 s, estimated 959 s, iters = {game: 142778, MDP: 62425}
> progress 52.792%, elapsed 507 s, estimated 960 s, iters = {game: 143600, MDP: 62785}
> progress 53.022%, elapsed 510 s, estimated 962 s, iters = {game: 144400, MDP: 63137}
> progress 53.242%, elapsed 513 s, estimated 964 s, iters = {game: 145187, MDP: 63482}
> progress 53.314%, elapsed 516 s, estimated 968 s, iters = {game: 146036, MDP: 63853}
> progress 53.608%, elapsed 519 s, estimated 968 s, iters = {game: 146809, MDP: 64195}
> progress 53.761%, elapsed 522 s, estimated 971 s, iters = {game: 147639, MDP: 64557}
> progress 53.96%, elapsed 525 s, estimated 973 s, iters = {game: 148453, MDP: 64911}
> progress 54.173%, elapsed 528 s, estimated 975 s, iters = {game: 149288, MDP: 65281}
> progress 54.408%, elapsed 531 s, estimated 976 s, iters = {game: 150114, MDP: 65644}
> progress 54.631%, elapsed 534 s, estimated 978 s, iters = {game: 150717, MDP: 65908}
> progress 54.89%, elapsed 537 s, estimated 978 s, iters = {game: 151523, MDP: 66262}
> progress 55.109%, elapsed 540 s, estimated 980 s, iters = {game: 152348, MDP: 66623}
> progress 55.204%, elapsed 543 s, estimated 984 s, iters = {game: 153175, MDP: 66984}
> progress 55.428%, elapsed 546 s, estimated 985 s, iters = {game: 154016, MDP: 67354}
> progress 55.671%, elapsed 549 s, estimated 986 s, iters = {game: 154820, MDP: 67707}
> progress 55.86%, elapsed 552 s, estimated 988 s, iters = {game: 155650, MDP: 68068}
> progress 56.056%, elapsed 555 s, estimated 990 s, iters = {game: 156464, MDP: 68425}
> progress 56.283%, elapsed 558 s, estimated 992 s, iters = {game: 157246, MDP: 68767}
> progress 56.483%, elapsed 561 s, estimated 993 s, iters = {game: 158063, MDP: 69128}
> progress 56.546%, elapsed 564 s, estimated 998 s, iters = {game: 158876, MDP: 69483}
> progress 56.758%, elapsed 567 s, estimated 999 s, iters = {game: 159668, MDP: 69832}
> progress 56.958%, elapsed 570 s, estimated 1001 s, iters = {game: 160467, MDP: 70185}
> progress 57.078%, elapsed 573 s, estimated 1004 s, iters = {game: 161272, MDP: 70538}
> progress 57.24%, elapsed 576 s, estimated 1006 s, iters = {game: 162043, MDP: 70872}
> progress 57.433%, elapsed 579 s, estimated 1008 s, iters = {game: 162851, MDP: 71228}
> progress 57.63%, elapsed 582 s, estimated 1010 s, iters = {game: 163618, MDP: 71566}
> progress 57.73%, elapsed 585 s, estimated 1013 s, iters = {game: 164393, MDP: 71905}
> progress 57.939%, elapsed 588 s, estimated 1015 s, iters = {game: 165151, MDP: 72236}
> progress 58.127%, elapsed 591 s, estimated 1017 s, iters = {game: 165940, MDP: 72579}
> progress 58.256%, elapsed 594 s, estimated 1020 s, iters = {game: 166730, MDP: 72925}
> progress 58.401%, elapsed 597 s, estimated 1022 s, iters = {game: 167569, MDP: 73295}
> progress 58.613%, elapsed 600 s, estimated 1024 s, iters = {game: 168390, MDP: 73656}
> progress 58.827%, elapsed 603 s, estimated 1025 s, iters = {game: 169226, MDP: 74019}
> progress 59.057%, elapsed 606 s, estimated 1026 s, iters = {game: 170043, MDP: 74383}
> progress 59.275%, elapsed 609 s, estimated 1028 s, iters = {game: 170826, MDP: 74736}
> progress 59.494%, elapsed 612 s, estimated 1029 s, iters = {game: 171613, MDP: 75085}
> progress 59.566%, elapsed 615 s, estimated 1033 s, iters = {game: 172453, MDP: 75453}
> progress 59.895%, elapsed 618 s, estimated 1032 s, iters = {game: 173225, MDP: 75794}
> progress 60.018%, elapsed 621 s, estimated 1035 s, iters = {game: 174044, MDP: 76153}
