2023-12-19 11:51:34,462 - cli.py - This is Paynt version 0.1.0.
2023-12-19 11:51:34,462 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/rover/sketch.templ ...
2023-12-19 11:51:34,462 - sketch.py - assuming sketch in PRISM format...
2023-12-19 11:51:34,464 - prism_parser.py - PRISM model type: MDP
2023-12-19 11:51:34,464 - prism_parser.py - processing hole definitions...
2023-12-19 11:51:34,465 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/rover/sketch.props ...
2023-12-19 11:51:34,466 - prism_parser.py - found the following specification: constraints: P>=3/4 [F "goal"]; 
2023-12-19 11:51:34,466 - jani.py - constructing JANI program...
2023-12-19 11:51:34,468 - jani.py - constructing the quotient...
2023-12-19 11:51:35,081 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 11:51:35,512 - sketch.py - sketch parsing OK
2023-12-19 11:51:35,512 - sketch.py - constructed explicit quotient having 17003 states and 486003 actions
2023-12-19 11:51:35,512 - sketch.py - found the following specification constraints: P>=3/4 [F "goal"]; 
2023-12-19 11:51:35,724 - mdp_family.py - associating choices with action labels...
2023-12-19 11:51:36,041 - synthesizer.py - evaluation initiated, design space: 38880
> Progress 56.9%, elapsed 724 s, estimated 1273 s, iters = {MDP: 22124}
> Progress 57.103%, elapsed 727 s, estimated 1274 s, iters = {MDP: 22203}
> Progress 57.337%, elapsed 730 s, estimated 1274 s, iters = {MDP: 22294}
> Progress 57.523%, elapsed 733 s, estimated 1275 s, iters = {MDP: 22366}
> Progress 57.716%, elapsed 736 s, estimated 1276 s, iters = {MDP: 22441}
> Progress 57.934%, elapsed 739 s, estimated 1276 s, iters = {MDP: 22526}
> Progress 58.114%, elapsed 742 s, estimated 1278 s, iters = {MDP: 22596}
> Progress 58.307%, elapsed 745 s, estimated 1279 s, iters = {MDP: 22671}
> Progress 58.523%, elapsed 748 s, estimated 1279 s, iters = {MDP: 22755}
> Progress 58.693%, elapsed 751 s, estimated 1280 s, iters = {MDP: 22821}
> Progress 58.904%, elapsed 754 s, estimated 1281 s, iters = {MDP: 22903}
> Progress 59.112%, elapsed 757 s, estimated 1282 s, iters = {MDP: 22984}
> Progress 59.31%, elapsed 760 s, estimated 1282 s, iters = {MDP: 23061}
> Progress 59.539%, elapsed 763 s, estimated 1282 s, iters = {MDP: 23150}
> Progress 59.717%, elapsed 766 s, estimated 1284 s, iters = {MDP: 23219}
> Progress 59.922%, elapsed 769 s, estimated 1284 s, iters = {MDP: 23299}
> Progress 60.126%, elapsed 772 s, estimated 1285 s, iters = {MDP: 23378}
> Progress 60.298%, elapsed 775 s, estimated 1286 s, iters = {MDP: 23445}
> Progress 60.48%, elapsed 778 s, estimated 1287 s, iters = {MDP: 23516}
> Progress 60.694%, elapsed 781 s, estimated 1288 s, iters = {MDP: 23599}
> Progress 60.874%, elapsed 785 s, estimated 1289 s, iters = {MDP: 23669}
